datathrough,confonly,teamname,season,efg_pct,rankefg_pct,to_pct,rankto_pct,or_pct,rankor_pct,ft_rate,rankft_rate,defg_pct,rankdefg_pct,dto_pct,rankdto_pct,dor_pct,rankdor_pct,dft_rate,rankdft_rate,oe,rankoe,de,rankde,tempo,ranktempo,adjoe,rankadjoe,adjde,rankadjde,adjtempo,rankadjtempo,source_name,endpoint,processed_at_utc,processed_at_local
"Sunday, February 1",true,Chattanooga,2026,52.224,6,14.1,5,20.482,10,30.249,8,50.685,3,13.061,7,30.959,7,42.808,10,106.716,8,112.801,4,67.375,3,,,,,,,kenpom_api,four-factors,2026-02-02 03:42:04 UTC,2026-02-01 21:42:04 Central Standard Time
"Sunday, February 1",true,Chicago St.,2026,45.673,10,14.651,2,26.3,6,28.846,9,55.814,10,20.784,1,34.191,10,35.941,7,99.1482,9,112.095,8,64.3151,5,,,,,,,kenpom_api,four-factors,2026-02-02 03:42:04 UTC,2026-02-01 21:42:04 Central Standard Time
"Sunday, February 1",true,Cincinnati,2026,46.591,16,17.444,13,29.56,10,25.758,14,51.562,7,16.27,6,29.9,7,29.102,6,98.6267,16,106.007,4,66.2431,14,,,,,,,kenpom_api,four-factors,2026-02-02 03:42:04 UTC,2026-02-01 21:42:04 Central Standard Time
"Sunday, February 1",true,Clemson,2026,54.688,5,16.49,13,24.632,15,35.208,8,46.76,2,20.06,2,26.014,3,37.365,13,109.822,8,95.8817,1,64.4739,18,,,,,,,kenpom_api,four-factors,2026-02-02 03:42:04 UTC,2026-02-01 21:42:04 Central Standard Time
"Sunday, February 1",true,Cleveland St.,2026,55.802,3,18.009,9,29.787,9,43.817,3,53.473,6,13.658,9,38.372,11,31.848,3,115.425,4,122.435,11,68.9479,6,,,,,,,kenpom_api,four-factors,2026-02-02 03:42:04 UTC,2026-02-01 21:42:04 Central Standard Time
"Sunday, February 1",true,Coastal Carolina,2026,49.0,9,15.636,8,28.246,9,33.143,11,48.695,6,11.204,13,26.0,3,31.593,4,106.128,9,107.236,7,66.2902,10,,,,,,,kenpom_api,four-factors,2026-02-02 03:42:04 UTC,2026-02-01 21:42:04 Central Standard Time
"Sunday, February 1",true,Colgate,2026,54.647,3,14.993,2,30.816,3,35.112,2,54.309,6,16.463,6,23.765,1,34.291,6,115.241,1,109.068,5,66.4301,3,,,,,,,kenpom_api,four-factors,2026-02-02 03:42:04 UTC,2026-02-01 21:42:04 Central Standard Time
"Sunday, February 1",true,Colorado,2026,51.592,8,13.816,5,26.498,16,33.708,7,53.078,11,14.78,10,32.581,10,37.873,15,110.689,7,114.384,12,69.1625,10,,,,,,,kenpom_api,four-factors,2026-02-02 03:42:04 UTC,2026-02-01 21:42:04 Central Standard Time
"Sunday, February 1",true,Colorado St.,2026,51.601,7,21.122,11,31.977,3,35.053,8,55.245,10,17.071,6,31.642,9,39.336,9,104.308,9,114.724,10,62.8386,12,,,,,,,kenpom_api,four-factors,2026-02-02 03:42:04 UTC,2026-02-01 21:42:04 Central Standard Time
"Sunday, February 1",true,Columbia,2026,51.937,5,18.937,8,35.656,1,34.14,4,55.251,7,13.526,7,30.342,5,32.22,5,110.498,6,118.822,7,67.4903,4,,,,,,,kenpom_api,four-factors,2026-02-02 03:42:04 UTC,2026-02-01 21:42:04 Central Standard Time
"Sunday, February 1",true,Connecticut,2026,54.697,2,17.557,10,37.895,2,31.515,7,45.3,1,18.227,3,30.1,4,39.06,10,116.466,2,97.5691,1,66.3444,9,,,,,,,kenpom_api,four-factors,2026-02-02 03:42:04 UTC,2026-02-01 21:42:04 Central Standard Time
"Sunday, February 1",true,Coppin St.,2026,51.42,3,23.941,8,36.408,2,49.211,4,56.788,8,19.83,5,33.146,5,60.596,7,102.778,6,114.87,8,68.9187,4,,,,,,,kenpom_api,four-factors,2026-02-02 03:42:04 UTC,2026-02-01 21:42:04 Central Standard Time
"Sunday, February 1",true,Cornell,2026,57.488,1,15.051,6,29.752,5,30.876,6,59.952,8,14.85,5,28.837,4,33.813,6,120.607,1,122.212,8,71.1875,1,,,,,,,kenpom_api,four-factors,2026-02-02 03:42:04 UTC,2026-02-01 21:42:04 Central Standard Time
"Sunday, February 1",true,Creighton,2026,55.659,1,14.904,2,25.419,10,29.302,9,52.996,8,12.794,10,30.049,3,25.107,1,113.692,5,113.824,8,68.2753,6,,,,,,,kenpom_api,four-factors,2026-02-02 03:42:04 UTC,2026-02-01 21:42:04 Central Standard Time
"Sunday, February 1",true,CSUN,2026,51.483,5,17.35,3,33.565,1,38.418,4,50.434,4,16.872,8,26.897,3,36.324,6,106.855,6,105.06,4,75.9739,1,,,,,,,kenpom_api,four-factors,2026-02-02 03:42:04 UTC,2026-02-01 21:42:04 Central Standard Time
