player_name,team_name,season,position_raw,class,height,weight,position_group,position_group_rule,source_dataset
Romari Robinson,Sacramento State,2026,G,FR,6-4,195.0,Guard,direct_guard,big_sky
Shaqir Oneal,Sacramento State,2026,F,SR,6-7,185.0,Forward,forward_or_center,big_sky
Zach Anderson,Sacramento State,2026,G,JR,6-3,185.0,Guard,direct_guard,big_sky
Anthony Moore,Weber State,2026,G,FR,6-5,190.0,Guard,direct_guard,big_sky
Ardarius Grayson,Weber State,2026,G,FR,6-1,185.0,Guard,direct_guard,big_sky
Bourgeois Tshilobo,Weber State,2026,C,FR,6-8,225.0,Forward,forward_or_center,big_sky
Brady Smith,Weber State,2026,G,JR,6-0,173.0,Guard,direct_guard,big_sky
David Hansen,Weber State,2026,F,SO,6-9,200.0,Forward,forward_or_center,big_sky
Declan Cutler,Weber State,2026,F,SO,6-9,230.0,Forward,forward_or_center,big_sky
Duce Paschal,Weber State,2026,G,FR,6-5,185.0,Guard,direct_guard,big_sky
Edwin Suarez,Weber State,2026,F,JR,6-6,205.0,Forward,forward_or_center,big_sky
Jace Whiting,Weber State,2026,G,SR,6-2,185.0,Guard,direct_guard,big_sky
Malek Gomma,Weber State,2026,F,JR,6-8,225.0,Forward,forward_or_center,big_sky
Nigel Burris,Weber State,2026,F,SR,6-7,222.0,Forward,forward_or_center,big_sky
Tijan Saine,Weber State,2026,G,JR,5-10,175.0,Guard,direct_guard,big_sky
Trevor Hennig,Weber State,2026,G,SO,6-4,185.0,Guard,direct_guard,big_sky
Tyler Christensen,Weber State,2026,G,JR,6-4,200.0,Guard,direct_guard,big_sky
Viljami Vartiainen,Weber State,2026,F,JR,6-6,195.0,Forward,forward_or_center,big_sky
